ags,name,lon,lat
01053033,Giesensdorf,10.7137,53.6883
01053040,Groß Disnack,10.6906,53.742
01053041,Groß Grönau,10.7505,53.8014
01053043,Groß Sarau,10.7374,53.7718
01053051,Harmsdorf (Herzogtum Lauenburg),10.7259,53.7004
01053054,Hollenbek,10.8198,53.5923
01053057,Horst,10.7706,53.6386
01053062,Kittlitz,10.9182,53.6641
01053066,Klein Zecher,10.8728,53.5774
01053078,Kulpin,10.6958,53.7101
01053088,Mechow,10.8018,53.7176
01053093,Mustin (Herzogtum Lauenburg),10.8862,53.6845
01053098,Pogeez,10.7294,53.7509
01053102,Römnitz,10.769,53.7101
01053107,Salem (Herzogtum Lauenburg),10.828,53.6564
01053110,Schmilau,10.756,53.6646
01053117,Seedorf (Herzogtum Lauenburg),10.8669,53.6192
01053123,Sterley,10.8176,53.6201
01053136,Ziethen (Herzogtum Lauenburg),10.8093,53.6937
01053007,Basthorst,10.4714,53.5766
01053017,Brunstorf,10.4259,53.4916
01053021,Dahmker,10.4445,53.5878
01053027,Elmenhorst (Herzogtum Lauenburg),10.5376,53.5449
01053031,Fuhlenhagen,10.5266,53.573
01053036,Grabau (Herzogtum Lauenburg),10.5198,53.5136
01053042,Groß Pampau,10.5603,53.5218
01053045,Grove,10.4921,53.5281
01053047,Gülzow (Herzogtum Lauenburg),10.4909,53.4422
01053049,Hamfelde (Herzogtum Lauenburg),10.4489,53.5972
01053052,Havekost,10.4731,53.5399
01053059,Kankelau,10.5683,53.5493
01053060,Kasseburg,10.4154,53.5672
01053070,Köthel (Herzogtum Lauenburg),10.51,53.6069
01053071,Kollow,10.4588,53.4632
01053076,Kuddewörde,10.4019,53.5873
01053089,Möhnsen,10.4692,53.56
01053091,Mühlenrade,10.4878,53.5958
01053106,Sahms,10.5327,53.5258
01053025,Duvensee,10.5684,53.693
01053038,Grinau,10.5495,53.7754
01053039,Groß Boden,10.4529,53.7527
01053044,Groß Schenkenberg,10.5649,53.7935
01053068,Klinkrade,10.5503,53.7161
01053069,Koberg,10.526,53.6396
01053077,Kühsen,10.6158,53.6827
01053079,Labenz,10.5246,53.7084
01053081,Lankau,10.6656,53.6679
01053085,Linau,10.4676,53.6439
01053086,Lüchow,10.5295,53.6907
01053096,Nusse,10.576,53.6591
01053097,Panten,10.6198,53.6646
01053099,Poggensee,10.5795,53.6401
01053101,Ritzerau,10.5675,53.663
01053108,Sandesneben,10.4968,53.688
01053109,Schiphorst,10.4616,53.7084
01053112,Schönberg (Herzogtum Lauenburg),10.4331,53.6772
01053114,Schürensöhlen,10.472,53.7635
01053118,Siebenbäumen,10.5252,53.7496
01053121,Sirksfelde,10.5098,53.6653
01053122,Steinhorst (Herzogtum Lauenburg),10.4834,53.72
01053124,Stubben,10.4307,53.7329
01053127,Walksfelde,10.5751,53.6319
01053130,Wentorf (Amt Sandesneben),10.4749,53.6766
01053105,Sachsenwald (Forstgutsbez.),10.3733,53.531
01054033,Friedrichstadt,9.0879,54.3735
01054056,Husum (Nordfriesland),9.0572,54.4771
01054108,Reußenköge,8.8831,54.6204
01054138,Tönning,8.9419,54.3166
01054168,Sylt,8.3088,54.9079
01054035,Kirchspiel Garding,8.7836,54.3174
01054036,Garding,8.7782,54.328
01054040,Grothusenkoog,8.759,54.3027
01054063,Katharinenheerd,8.8281,54.3352
01054072,Kotzenbüll,8.9075,54.3338
01054090,Norderfriedrichskoog,8.8936,54.4003
01054095,Oldenswort,8.943,54.3723
01054100,Osterhever,8.7652,54.3853
01054104,Poppenbüll,8.7612,54.3616
01054113,Sankt Peter-Ording,8.6405,54.3023
01054134,Tating,8.7085,54.3255
01054135,Tetenbüll,8.8282,54.352
01054140,Tümlauer Koog,8.6898,54.3483
01054145,Vollerwiek,8.7947,54.2907
01054148,Welt,8.7941,54.3024
01054150,Westerhever,8.6756,54.3823
01054046,Hörnum (Sylt),8.2872,54.756100000000004
01054061,Kampen (Sylt),8.3423,54.9555
01054078,List auf Sylt,8.4362,55.02
01054149,Wenningstedt-Braderup (Sylt),8.3198,54.9311
01054003,Ahrenviöl,9.2069,54.5313
01054004,Ahrenviölfeld,9.2741,54.5346
01054011,Behrendorf,9.2276,54.5621
01054013,Bondelum,9.2668,54.5566
01054041,Haselund,9.183,54.5917
01054057,Immenstedt (Nordfriesland),9.1625,54.5414
01054079,Löwenstedt,9.1749,54.6216
01054092,Norstedt,9.1293,54.5884
01054101,Oster-Ohrstedt,9.2274,54.5145
01054118,Schwesing,9.1346,54.4939
01054123,Sollwitt,9.2285,54.5946
01054144,Viöl,9.1806,54.5689
01054152,Wester-Ohrstedt,9.1901,54.5072
01054039,Gröde,8.7174,54.6317
01054050,Hallig Hooge,8.5509,54.5664
01054074,Langeneß,8.5941,54.6379
01054103,Pellworm,8.6862,54.5186
01054005,Alkersum,8.5112,54.7082
01054015,Borgsum,8.46,54.7
01054025,Dunsum,8.4146,54.7307
01054083,Midlum,8.5186,54.7149
01054085,Nebel,8.3537,54.6506
01054087,Nieblum,8.4894,54.6919
01054089,Norddorf auf Amrum,8.3329,54.6796
01054094,Oevenum,8.5305,54.7101
01054098,Oldsum,8.4477,54.7321
01054129,Süderende,8.4393,54.7256
01054143,Utersum,8.4072,54.7145
01054158,Witsum,8.4411,54.6985
01054160,Wittdün auf Amrum,8.393,54.6265
01054163,Wrixum,8.549,54.699
01054164,Wyk auf Föhr,8.5672,54.6911
01054001,Achtrup,9.0283,54.789
01054009,Aventoft,8.8221,54.9012
01054016,Bosbüll,8.8604,54.8228
01054017,Braderup,8.8903,54.8356
01054018,Bramstedtlund,9.0872,54.84
01054022,Dagebüll,8.7064,54.7302
01054027,Ellhöft,8.9576,54.8888
01054034,Friedrich-Wilhelm-Lübke-Koog,8.6319,54.8624
01054048,Holm (Nordfriesland),8.8605,54.8314
01054055,Humptrup,8.8645,54.8632
01054062,Karlum,8.9753,54.8286
01054065,Klanxbüll,8.6795,54.8643
01054068,Klixbüll,8.8824,54.8052
01054073,Ladelund,9.0253,54.8408
01054076,Leck,8.9746,54.7719
01054077,Lexgaard,8.9435,54.832
01054086,Neukirchen (Nordfriesland),8.7339,54.8689
01054088,Niebüll,8.8295,54.7881
01054109,Risum-Lindholm,8.8755,54.7615
01054110,Rodenäs,8.7003,54.8884
01054124,Sprakebüll,9.0772,54.7759
01054125,Stadum,9.0505,54.736
01054126,Stedesand,8.9255,54.7381
01054131,Süderlügum,8.9079,54.8724
01054136,Tinningstedt,8.9298,54.8112
01054142,Uphusum,8.8499,54.8419
01054154,Westre,8.9875,54.8566
01054165,Galmsbüll,8.7321,54.7757
01054166,Emmelsbüll-Horsbüll,8.6926,54.8114
01054167,Enge-Sande,8.9805,54.7267
01054007,Arlewatt,9.0834,54.5392
01054023,Drage (Nordfriesland),9.1607,54.3545
01054026,Elisabeth-Sophien-Koog,8.8796,54.5101
01054032,Fresendelf,9.2488,54.3934
01054042,Hattstedt,9.0245,54.528
01054043,Hattstedtermarsch,8.9646,54.5548
01054052,Horstedt (Nordfriesland),9.069,54.5256
01054054,Hude,9.2158,54.3872
01054070,Koldenbüttel,9.0659,54.3848
01054084,Mildstedt,9.094,54.4635
01054091,Nordstrand,8.8602,54.4848
01054096,Oldersbek,9.1667,54.4464
01054097,Olderup,9.1121,54.5382
01054099,Ostenfeld (Husum),9.2307,54.4629
01054105,Ramstedt,9.1671,54.3999
01054106,Rantrum,9.1296,54.4405
01054116,Schwabstedt,9.1852,54.3957
01054119,Seeth,9.1631,54.3658
01054120,Simonsberg,8.972,54.4366
01054130,Süderhöft,9.2423,54.3819
01054132,Südermarsch,9.082,54.4259
01054141,Uelvesbüll,8.9353,54.4154
01054156,Winnert,9.2014,54.4332
01054157,Wisch (Nordfriesland),9.1541,54.4085
01054159,Wittbek,9.2041,54.4734
01054161,Witzwort,8.9845,54.3995
01054162,Wobbenbüll,8.9925,54.5304
01054002,Ahrenshöft,9.0681,54.5594
01054006,Almdorf,9.0156,54.5811
01054010,Bargum,8.9473,54.7042
01054012,Bohmstedt,9.0438,54.5812
01054014,Bordelum,8.9249,54.6359
01054019,Bredstedt,8.961,54.6201
01054020,Breklum,8.9821,54.6051
01054024,Drelsdorf,9.0413,54.606
01054037,Goldebek,9.1458,54.6788
01054038,Goldelund,9.1074,54.6784
01054045,Högel,9.0567,54.6435
01054059,Joldelund,9.1397,54.6529
01054071,Kolkerheide,9.1308,54.6204
01054075,Langenhorn,8.9337,54.6817
01054080,Lütjenholm,9.0216,54.6841
01054093,Ockholm,8.8276,54.6651
01054121,Sönnebüll,8.9959,54.6312
01054128,Struckum,8.9941,54.5887
01054146,Vollstedt,9.0327,54.6237
01055001,Ahrensbök,10.5731,54.0111
01055004,Bad Schwartau,10.6959,53.9204
01055007,Bosau,10.4299,54.1044
01055010,Dahme,11.0816,54.2237
01055012,Eutin,10.615,54.1389
01055016,Grömitz,10.9611,54.1492
01055018,Grube,11.036,54.2321
01055021,Heiligenhafen,10.9746,54.373
01055025,Kellenhusen (Ostsee),11.06,54.1907
01055028,Malente,10.5549,54.1712
01055032,Neustadt in Holstein,10.8164,54.1056
01055033,Oldenburg in Holstein,10.8882,54.2932
01055035,Ratekau,10.7351,53.9478
01055040,Stockelsdorf,10.6498,53.8893
01055041,Süsel,10.718,54.0767
01055042,Timmendorfer Strand,10.7702,53.9964
01055044,Scharbeutz,10.7502,54.0228
01055046,Fehmarn,11.1976,54.4387
01055014,Göhl,10.9419,54.2847
01055015,Gremersdorf,10.9277,54.3328
01055017,Großenbrode,11.0843,54.3697
01055022,Heringsdorf (Ostholstein),11.0037,54.3004
01055031,Neukirchen (Ostholstein),11.0152,54.3238
01055043,Wangels,10.7636,54.2716
01055006,Beschendorf,10.873,54.1827
01055011,Damlos,10.9077,54.243
01055020,Harmsdorf (Ostholstein),10.8285,54.2438
01055023,Kabelhorst,10.9211,54.2158
01055027,Lensahn,10.8833,54.2175
01055029,Manhagen,10.9137,54.195
01055036,Riepsdorf,10.9697,54.2254
01055002,Altenkrempe,10.8257,54.133
01055024,Kasseedorf,10.72,54.1649
01055037,Schashagen,10.8835,54.1343
01055038,Schönwalde am Bungsberg,10.7535,54.1874
01055039,Sierksdorf,10.7684,54.0663
01056002,Barmstedt,9.7686,53.7904
01056005,Bönningstedt,9.9063,53.6623
01056015,Elmshorn,9.6553,53.755
01056018,Halstenbek,9.8376,53.6336
01056021,Hasloh,9.9117,53.694
01056025,Helgoland,7.8871,54.1816
01056039,Pinneberg,9.7932,53.6608
01056041,Quickborn (Pinneberg),9.898,53.7288
01056043,Rellingen,9.8297,53.6521
01056044,Schenefeld (Pinneberg),9.8225,53.601
01056048,Tornesch,9.712,53.6977
01056049,Uetersen,9.6624,53.6842
01056050,Wedel,9.7054,53.5774
01056029,Klein Nordende,9.6551,53.7253
01056030,Klein Offenseth-Sparrieshoop,9.6839,53.7848
01056031,Kölln-Reisiek,9.6976,53.7575
01056033,Seester,9.5981,53.7177
01056042,Raa-Besenbek,9.5976,53.748
01056045,Seestermühe,9.5663,53.704
01056046,Seeth-Ekholt,9.7328,53.7429
01056006,Bokel (Pinneberg),9.7339,53.8642
01056010,Brande-Hörnerkirchen,9.7051,53.8551
01056038,Osterhorn,9.6986,53.8687
01056051,Westerhorn,9.682,53.8578
01056003,Bevern (Pinneberg),9.771,53.7557
01056004,Bilsen,9.8762,53.7699
01056008,Bokholt-Hanredder,9.7352,53.788
01056011,Bullenkuhlen,9.7516,53.7686
01056014,Ellerhoop,9.7708,53.7276
01056017,Groß Offenseth-Aspern,9.7301,53.8178
01056022,Heede (Pinneberg),9.8023,53.7835
01056026,Hemdingen,9.8369,53.7629
01056034,Langeln,9.8537,53.7951
01056035,Lutzhorn,9.7768,53.8255
01056009,Borstel-Hohenraden,9.8243,53.6979
01056013,Ellerbek,9.8696,53.6572
01056032,Kummerfeld,9.791,53.6916
01056040,Prisdorf,9.7616,53.6782
01056047,Tangstedt (Pinneberg),9.8497,53.6792
01056001,Appen,9.7427,53.6598
01056016,Groß Nordende,9.6495,53.7021
01056019,Haselau,9.6236,53.6606
01056020,Haseldorf,9.5984,53.6352
01056023,Heidgraben,9.6851,53.7058
01056024,Heist,9.6566,53.6548
01056027,Hetlingen,9.6354,53.6077
01056028,Holm (Pinneberg),9.6719,53.6221
01056036,Moorrege,9.6591,53.6681
01056037,Neuendeich,9.6003,53.6763
01057001,Ascheberg (Holstein),10.3411,54.1511
01057008,Bönebüttel,10.0593,54.0795
01057009,Bösdorf,10.4908,54.1415
01057057,Plön,10.4164,54.1583
01057062,Preetz (Plön),10.2805,54.2319
01057091,Schwentinental,10.2382,54.2824
01057004,Behrensdorf (Ostsee),10.6037,54.3465
01057007,Blekendorf,10.6509,54.2765
01057013,Dannau,10.5411,54.2409
01057021,Giekau,10.5062,54.3174
01057026,Helmstorf,10.5935,54.2866
01057027,Högsdorf,10.6151,54.252
01057029,Hohenfelde (Plön),10.4964,54.3709
01057030,Hohwacht (Ostsee),10.6737,54.3209
01057034,Kirchnüchel,10.6801,54.2041
01057035,Klamp,10.5341,54.2964
01057038,Kletkamp,10.6381,54.2491
01057048,Lütjenburg,10.5922,54.2949
01057055,Panker,10.5731,54.3303
01057076,Schwartbuck,10.4781,54.3583
01057082,Tröndel,10.5255,54.3352
01057015,Dersau,10.3359,54.1181
01057017,Dörnick,10.3604,54.1634
01057022,Grebin,10.4943,54.1959
01057032,Kalübbe,10.2831,54.1181
01057045,Lebrade,10.4222,54.2167
01057053,Nehmten,10.3933,54.0948
01057065,Rantzau,10.5074,54.2539
01057067,Rathjensdorf,10.4277,54.1857
01057089,Wittmoldt,10.3491,54.1749
01057002,Barmissen,10.1754,54.205
01057010,Boksee,10.1277,54.243
01057011,Bothkamp,10.1344,54.2034
01057023,Großbarkau,10.169,54.2254
01057031,Honigsee,10.1872,54.2283
01057033,Kirchbarkau,10.1424,54.2115
01057037,Klein Barkau,10.1353,54.2227
01057042,Kühren,10.2584,54.1984
01057046,Lehmkuhlen,10.3612,54.2259
01057047,Löptin,10.2157,54.1752
01057054,Nettelsee,10.1891,54.1741
01057058,Pohnsdorf,10.2493,54.2396
01057059,Postfeld,10.2164,54.2113
01057066,Rastorf,10.2891,54.2726
01057070,Schellhorn,10.2995,54.2276
01057084,Wahlstorf,10.2947,54.1781
01057086,Warnau,10.1602,54.1879
01057003,Barsbek,10.3201,54.4041
01057006,Bendfeld,10.4194,54.3642
01057012,Brodersdorf,10.2493,54.3855
01057018,Fahren,10.3381,54.3496
01057020,Fiefbergen,10.3428,54.3793
01057028,Höhndorf,10.3707,54.3726
01057039,Köhn,10.4551,54.3444
01057040,Krokau,10.3416,54.4024
01057041,Krummbek,10.4007,54.3781
01057043,Laboe,10.2243,54.404
01057049,Lutterbek,10.2768,54.392
01057056,Passade,10.3168,54.3666
01057060,Prasdorf,10.2963,54.3787
01057063,Probsteierhagen,10.2884,54.3626
01057073,Schönberg (Holstein),10.3725,54.3924
01057078,Stakendorf,10.4228,54.3884
01057079,Stein (Plön),10.2688,54.4147
01057081,Stoltenberg,10.3465,54.3448
01057087,Wendtorf,10.2924,54.4098
01057088,Wisch (Plön),10.3441,54.411
01057016,Dobersdorf,10.2815,54.3185
01057044,Lammershagen,10.4439,54.2745
01057050,Martensrade,10.3925,54.2796
01057052,Mucheln,10.4427,54.2464
01057072,Schlesen,10.3286,54.3215
01057077,Selent,10.4259,54.2905
01057090,Fargau-Pratjau,10.379,54.319
01057025,Heikendorf,10.2071,54.3713
01057051,Mönkeberg,10.1871,54.3481
01057074,Schönkirchen,10.2237,54.3365
01057005,Belau,10.2597,54.0975
01057024,Großharrie,10.0499,54.1191
01057068,Rendswühren,10.1797,54.0743
01057069,Ruhwinkel,10.2218,54.0942
01057071,Schillsdorf,10.1239,54.1162
01057080,Stolpe (Plön),10.2226,54.1289
01057083,Tasdorf,10.0315,54.0957
01057085,Wankendorf,10.208,54.1128
01058005,Altenholz,10.1207,54.403
01058034,Büdelsdorf,9.6778,54.3157
01058043,Eckernförde,9.837,54.4728
01058092,Kronshagen,10.079,54.3321
01058135,Rendsburg,9.6632,54.3065
01058169,Wasbek,9.8955,54.0714
01058001,Achterwehr,9.9658,54.3134
01058028,Bredenbek,9.8711,54.3249
01058050,Felde,9.9357,54.302
01058093,Krummwisch,9.8976,54.3352
01058104,Melsdorf,10.0298,54.3173
01058126,Ottendorf (Rendsburg-Eckernförde),10.0445,54.3403
01058130,Quarnbek,9.9839,54.33
01058171,Westensee,9.8971,54.275
01058037,Dänischenhagen,10.1296,54.426
01058116,Noer,10.005,54.4613
01058150,Schwedeneck,10.073,54.4716
01058157,Strande,10.171,54.4409
01058051,Felm,10.0615,54.4096
01058058,Gettorf,9.9735,54.4076
01058096,Lindau,9.9045,54.3853
01058110,Neudorf-Bornstein,9.9426,54.4357
01058112,Neuwittenbek,10.0283,54.3679
01058121,Osdorf,10.0157,54.428
01058142,Schinkel,9.9549,54.3558
01058165,Tüttendorf,9.9935,54.3921
01058019,Böhnhusen,10.0682,54.2211
01058053,Flintbek,10.0637,54.2398
01058145,Schönhorst,10.1042,54.2255
01058160,Techelsdorf,10.0472,54.2142
01058003,Alt Duvenstedt,9.6452,54.3596
01058054,Fockbek,9.6016,54.3041
01058118,Nübbel,9.6219,54.2726
01058136,Rickert,9.6655,54.3312
01058010,Bargstall,9.4658,54.2604
01058029,Breiholz,9.522,54.2061
01058036,Christiansholm,9.4054,54.3205
01058047,Elsdorf-Westermühlen,9.5287,54.2587
01058055,Friedrichsgraben,9.4191,54.2723
01058056,Friedrichsholm,9.4273,54.303
01058070,Hamdorf,9.5187,54.2256
01058078,Hohn,9.5034,54.2987
01058089,Königshügel,9.4743,54.3349
01058097,Lohe-Föhrden,9.5444,54.3342
01058129,Prinzenmoor,9.4541,54.2174
01058154,Sophienhamm,9.461,54.2702
01058031,Brinjahe,9.6321,54.1685
01058048,Embühren,9.5914,54.1706
01058068,Haale,9.5489,54.1743
01058071,Hamweddel,9.6189,54.1905
01058075,Hörsten,9.5787,54.2269
01058086,Jevenstedt,9.6688,54.2346
01058101,Luhnstedt,9.6988,54.1672
01058148,Schülp b.Rendsburg,9.6292,54.2593
01058155,Stafstedt,9.6629,54.1707
01058172,Westerrönfeld,9.646,54.2804
01058018,Blumenthal,10.0033,54.2261
01058105,Mielkendorf,10.0408,54.2846
01058107,Molfsee,10.0649,54.2634
01058138,Rodenbek,10.0197,54.2767
01058139,Rumohr,10.0247,54.2552
01058141,Schierensee,9.9833,54.2568
01058011,Bargstedt (Rendsburg-Eckernförde),9.769,54.1624
01058021,Bokel (Rendsburg-Eckernförde),9.7941,54.2156
01058023,Borgdorf-Seedorf,9.8788,54.1781
01058027,Brammer,9.7652,54.2002
01058038,Dätgen,9.9343,54.1811
01058045,Eisendorf,9.8691,54.1934
01058046,Ellerdorf,9.8385,54.1948
01058049,Emkendorf,9.8532,54.2623
01058059,Gnutz,9.8235,54.1353
01058065,Groß Vollstedt,9.8677,54.2347
01058091,Krogaspe,9.9294,54.1316
01058094,Langwedel (Rendsburg-Eckernförde),9.9316,54.2117
01058117,Nortorf (Rendsburg-Eckernförde),9.856,54.1672
01058120,Oldenhütten,9.7405,54.1581
01058147,Schülp b.Nortorf,9.8856,54.1636
01058163,Timmaspe,9.8909,54.1408
01058168,Warder,9.8865,54.2133
01058026,Bovenau,9.83,54.3306
01058073,Haßmoor,9.8196,54.2919
01058122,Ostenfeld (Rendsburg),9.7851,54.3145
01058124,Osterrönfeld,9.6974,54.2922
